1000,3,72.29,73,70.94,72.08,
2000,3,75.37,76.52,76.46,76.12,
3000,3,79.03,78.26,78.45,78.58,
4000,3,78.64,77.36,77.55,77.85,
5000,3,79.54,79.6,78.7,79.28,
6000,3,78.96,79.22,79.03,79.07,
7000,3,79.79,78.9,80.31,79.67,
8000,3,80.18,79.86,79.67,79.90,
9000,3,79.47,79.35,80.63,79.82,
10000,3,80.56,79.54,79.47,79.86,
1000,4,74.79,74.41,74.6,74.60,
2000,4,81.65,79.99,79.79,80.48,
3000,4,81.14,82.23,82.49,81.95,
4000,4,82.23,82.81,82.42,82.49,
5000,4,83.71,84.73,83.45,83.96,
6000,4,83.96,84.09,83.32,83.79,
7000,4,84.35,84.16,84.67,84.39,
8000,4,84.16,85.12,84.93,84.74,
9000,4,85.7,84.35,85.25,85.10,
10000,4,84.41,86.02,85.76,85.40,
1000,5,73.32,74.09,73.19,73.53,
2000,5,79.6,78.64,78.06,78.77,
3000,5,82.17,80.08,80.82,81.02,
4000,5,82.75,82.75,82.36,82.62,
5000,5,83.84,84.28,84.35,84.16,
6000,5,85.18,84.16,85.63,84.99,
7000,5,85.18,84.54,85.31,85.01,
8000,5,84.8,84.73,84.41,84.65,
9000,5,85.63,84.99,86.14,85.59,
10000,5,85.38,85.25,85.95,85.53,
1000,6,72.1,73.44,73.89,73.14,
2000,6,80.44,79.28,81.27,80.33,
3000,6,83.84,83.19,81.08,82.70,
4000,6,83.26,82.94,84.03,83.41,
5000,6,85.5,86.47,84.41,85.46,
6000,6,85.5,85.05,86.08,85.54,
7000,6,86.02,85.38,84.86,85.42,
8000,6,86.53,85.38,85.89,85.93,
9000,6,86.59,87.04,86.98,86.87,
10000,6,85.31,86.14,86.98,86.14,
1000,7,72.74,74.41,74.41,73.85,
2000,7,78.26,80.82,79.92,79.67,
3000,7,82.55,82.36,82.87,82.59,
4000,7,83.9,83.77,83.96,83.88,
5000,7,85.18,84.16,83.45,84.26,
6000,7,86.08,84.28,86.14,85.50,
7000,7,85.31,85.82,85.63,85.59,
8000,7,86.47,85.5,86.98,86.32,
9000,7,86.98,87.3,87.24,87.17,
10000,7,86.4,86.66,85.57,86.21,
1000,8,72.87,73.77,72.67,73.10,
2000,8,79.99,79.92,79.6,79.84,
3000,8,83.96,81.98,83.13,83.02,
4000,8,83.96,84.99,86.66,85.20,
5000,8,84.22,84.54,84.22,84.33,
6000,8,85.38,86.4,85.38,85.72,
7000,8,85.82,86.21,85.89,85.97,
8000,8,86.85,86.21,86.91,86.66,
9000,8,85.7,86.59,86.98,86.42,
10000,8,86.91,87.75,86.27,86.98,
1000,9,72.61,72.61,73.68,72.97,
2000,9,77.23,81.72,79.28,79.41,
3000,9,83.82,82.94,83.52,83.43,
4000,9,84.28,84.73,84.28,84.43,
5000,9,85.18,84.54,84.99,84.90,
6000,9,85.95,85.89,86.08,85.97,
7000,9,85.44,85.05,85.31,85.27,
8000,9,86.53,85.31,85.82,85.89,
9000,9,86.66,86.66,85.76,86.36,
10000,9,86.98,86.59,87.17,86.91,
1000,10,72.61,73.19,72.61,72.80,
2000,10,78.77,80.44,80.18,79.80,
3000,10,83.64,83.45,82.68,83.26,
4000,10,84.41,84.54,83.84,84.26,
5000,10,84.03,84.8,83.84,84.22,
6000,10,86.02,84.48,84.41,84.97,
7000,10,86.34,86.14,85.44,85.97,
8000,10,86.47,86.53,86.59,86.53,
9000,10,86.47,85.7,86.91,86.36,
10000,10,85.44,86.91,86.66,86.34,
