1000,2,38.17,36.17,34.61,36.32
2000,2,39.29,40.69,40.69,40.22
3000,2,41.47,42.14,44.66,42.76
4000,2,40.79,42.76,43.91,42.49
5000,2,41.84,44.69,42.69,43.07
6000,2,45.3,44.55,45.44,45.10
7000,2,45.13,46.35,45.54,45.67
8000,2,45.71,44.62,45.2,45.18
9000,2,46.05,43.94,46.08,45.36
10000,2,46.11,46.76,47,46.62
1000,3,57.86,56.09,66,59.98
2000,3,63.15,66.2,64.51,64.62
3000,3,71.84,67.83,70.68,70.12
4000,3,73.13,73.16,72.79,73.03
5000,3,74.38,72.24,71.5,72.71
6000,3,73.09,76.15,74.41,74.55
7000,3,74.89,76.69,75.43,75.67
8000,3,76.52,77.43,77.67,77.21
9000,3,77.37,76.86,77.33,77.19
10000,3,79.23,79.81,78.01,79.02
1000,4,59.55,62.67,60.91,61.04
2000,4,68.78,68.58,71.02,69.46
3000,4,77.67,72.58,75.3,75.18
4000,4,73.94,75.47,74.45,74.62
5000,4,74.58,72.72,78.86,75.39
6000,4,77.47,75.87,78.15,77.16
7000,4,75.6,75.91,77.64,76.38
8000,4,77.4,79.33,77.81,78.18
9000,4,79.27,76.89,77.1,77.75
10000,4,78.89,77.37,78.35,78.20
1000,5,69.09,67.15,64.47,66.90
2000,5,68.41,71.12,72.38,70.64
3000,5,75.5,76.38,76.28,76.05
4000,5,76.15,76.42,75.7,76.09
5000,5,78.38,78.38,77.57,78.11
6000,5,77.91,77.33,79.13,78.12
7000,5,79.88,78.45,80.32,79.55
8000,5,79.91,79.84,79.44,79.73
9000,5,78.96,79.81,81.54,80.10
10000,5,79.95,81.13,79.64,80.24
1000,6,70.07,69.63,67.22,68.97
2000,6,71.33,67.25,71.43,70.00
3000,6,76.62,75.64,78.66,76.97
4000,6,76.35,76.59,76.48,76.47
5000,6,77.37,79.50,75.94,77.60
6000,6,79.06,79.50,80.01,79.52
7000,6,79.37,79.47,81.17,80.00
8000,6,80.35,80.25,80.96,80.52
9000,6,81.10,80.42,81.24,80.92
10000,6,80.96,81.37,79.57,80.63
1000,7,60.71,68.92,63.49,64.37
2000,7,70.55,72.01,75.87,72.81
3000,7,78.18,77.13,76.04,77.12
4000,7,76.96,77.1,76.45,76.84
5000,7,78.79,79.17,76.86,78.27
6000,7,78.96,79.98,79,79.31
7000,7,81.1,81.74,78.96,80.60
8000,7,81,79.33,79.78,80.04
9000,7,81.71,80.79,80.9,81.13
10000,7,81.2,81.54,80.45,81.06
1000,8,67.83,62.98,66.47,65.76
2000,8,72.28,71.09,72.96,72.11
3000,8,75.3,74.45,76.99,75.58
4000,8,78.38,74.28,77.13,76.60
5000,8,78.11,78.35,76.79,77.75
6000,8,80.59,79.81,80.12,80.17
7000,8,78.15,79.44,80.76,79.45
8000,8,79.98,80.59,80.96,80.51
9000,8,80.05,81.98,81,81.01
10000,8,81.1,79.37,81.4,80.62
1000,8,64.23,63.56,65.35,64.38
2000,9,71.8,72.21,69.87,71.29
3000,9,76.42,74.14,74.82,75.13
4000,9,76.25,76.86,77.47,76.86
5000,9,77.5,78.86,78.83,78.40
6000,9,79.2,79.74,80.96,79.97
7000,9,79.5,80.15,78.62,79.42
8000,9,78.86,79.4,81.1,79.79
9000,9,81.34,80.79,81.4,81.18
10000,9,80.62,79.84,82.5,80.99
1000,10,71.16,68.54,66.44,68.71
2000,10,70.89,72.85,74.52,72.75
3000,10,74.75,74.48,75.5,74.91
4000,10,77.3,77.5,76.96,77.25
5000,10,78.59,79.17,79.5,79.09
6000,10,78.76,79.71,80.49,79.65
7000,10,80.15,78.28,80.52,79.65
8000,10,80.9,82.08,80.66,81.21
9000,10,79.13,81.54,82.59,81.09
10000,10,80.9,80.83,81.17,80.97
